"SiglaEmpresa";"NumeroVoo";"DI";"TipoLinha";"AeroportoOrigem";"AeroportoDestino";"PartidaPrevista";"PartidaReal";"ChegadaPrevista";"ChegadaReal";"Situacao";"Justificativa"
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"12/12/2014 03:25";"12/12/2014 03:25";"12/12/2014 05:55";"12/12/2014 05:55";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"13/12/2014 18:10";"13/12/2014 18:10";"14/12/2014 05:55";"14/12/2014 05:55";"Realizado";"  "
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"13/12/2014 03:25";"13/12/2014 03:25";"13/12/2014 05:55";"13/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"12/12/2014 02:44";"12/12/2014 02:44";"12/12/2014 05:55";"12/12/2014 05:55";"Realizado";"  "
"SAA";" 0224";"0";"I";"FAJS";"SBGR";"10/12/2014 19:40";"10/12/2014 19:40";"11/12/2014 05:55";"11/12/2014 05:55";"Realizado";"  "
"TPU";" 0917";"0";"I";"SPIM";"SBGR";"12/12/2014 00:55";"12/12/2014 00:57";"12/12/2014 05:55";"12/12/2014 05:55";"Realizado";"MX"
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"10/12/2014 02:44";"10/12/2014 02:44";"10/12/2014 05:55";"10/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"12/12/2014 02:20";"12/12/2014 02:20";"12/12/2014 05:55";"12/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"13/12/2014 02:20";"13/12/2014 02:20";"13/12/2014 05:55";"13/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"23/12/2014 02:20";"  ";"23/12/2014 05:55";"  ";"Cancelado";"XN"
"ARG";" 1269";"0";"I";"SBBR";"SAEZ";"01/12/2014 02:55";"01/12/2014 02:55";"01/12/2014 05:55";"01/12/2014 05:55";"Realizado";"  "
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"01/12/2014 03:25";"01/12/2014 03:25";"01/12/2014 05:55";"01/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"01/12/2014 02:44";"01/12/2014 02:44";"01/12/2014 05:55";"01/12/2014 05:55";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"01/12/2014 18:10";"01/12/2014 18:10";"02/12/2014 05:55";"02/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"23/12/2014 02:44";"23/12/2014 02:44";"23/12/2014 05:55";"23/12/2014 05:55";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"23/12/2014 18:10";"23/12/2014 18:10";"24/12/2014 05:55";"24/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"01/12/2014 02:20";"01/12/2014 02:20";"01/12/2014 05:55";"01/12/2014 05:55";"Realizado";"  "
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"23/12/2014 03:25";"  ";"23/12/2014 05:55";"  ";"Cancelado";"XN"
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"08/12/2014 18:10";"08/12/2014 18:10";"09/12/2014 05:55";"09/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"19/12/2014 02:20";"19/12/2014 02:20";"19/12/2014 05:55";"19/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"08/12/2014 02:20";"08/12/2014 02:20";"08/12/2014 05:55";"08/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"08/12/2014 02:44";"08/12/2014 02:44";"08/12/2014 05:55";"08/12/2014 05:55";"Realizado";"  "
"AZU";" 2899";"0";"R";"SBCY";"SBGR";"16/12/2014 03:25";"16/12/2014 03:25";"16/12/2014 05:55";"16/12/2014 05:55";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"19/12/2014 18:10";"19/12/2014 18:10";"20/12/2014 05:55";"20/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"19/12/2014 02:44";"19/12/2014 02:44";"19/12/2014 05:55";"19/12/2014 05:55";"Realizado";"  "
"AZU";" 4191";"0";"N";"SBBE";"SBCF";"16/12/2014 02:44";"16/12/2014 02:44";"16/12/2014 05:55";"16/12/2014 05:55";"Realizado";"  "
"GLO";" 1821";"0";"N";"SBFZ";"SBGR";"16/12/2014 02:20";"  ";"16/12/2014 05:55";"  ";"Cancelado";"XN"
"TPU";" 0917";"0";"I";"SPIM";"SBGR";"26/12/2014 00:55";"26/12/2014 00:42";"26/12/2014 05:55";"26/12/2014 05:53";"Realizado";"  "
"TAM";" 8101";"0";"I";"LFPG";"SBGR";"20/12/2014 18:10";"20/12/2014 17:38";"21/12/2014 05:55";"21/12/2014 05:52";"Realizado";"AR"
"TPU";" 0917";"0";"I";"SPIM";"SBGR";"18/12/2014 00:55";"18/12/2014 00:55";"18/12/2014 05:55";"18/12/2014 05:50";"Realizado";"  "
